Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Dynasty Warriors 3: Xtreme Legends,PlayStation 2,72,16,8.5,60,Omega Force,T,Action
The Bouncer,PlayStation 2,66,20,7.8,48,DreamFactory,T,Action
Brutal Legend,Xbox 360,82,88,8.0,298,Double Fine Productions,M,Action
Grand Theft Auto: Vice City Stories,PlayStation 2,75,37,7.8,156,Rockstar Leeds,M,Action Adventure
Skylanders: Spyro's Adventure,Xbox 360,78,35,5.3,62,Toys for Bob,E10+,Action
Grand Theft Auto: San Andreas,PC,93,47,8.9,3696,Rockstar North,M,Action Adventure
Lego Star Wars II: The Original Trilogy,GameCube,84,25,8.7,26,Traveller's Tales,E10+,Action Adventure
LEGO Pirates of the Caribbean: The Video Game,PlayStation 3,73,42,7.4,56,Traveller's Tales,E10+,Action Adventure
Shinobi,PlayStation 2,71,33,8.2,52,Overworks,M,Action
LEGO Harry Potter: Years 5-7,PlayStation 3,76,27,8.0,68,Traveller's Tales,E10+,Action Adventure
Ben 10: Alien Force,DS,,,2.8,4,"Monkey Bar Games, 1st Playable Productions",E,Action
LEGO Batman 3: Beyond Gotham,PlayStation 4,73,43,7.0,125,TT Games,E10+,Action Adventure
Skylanders: Spyro's Adventure,PlayStation 3,77,18,5.2,53,Toys for Bob,E10+,Action
Brutal Legend,PlayStation 3,83,61,7.7,193,Double Fine Productions,M,Action
Castlevania: Lament of Innocence,PlayStation 2,79,45,8.6,114,KCET,M,Action Adventure
LEGO Batman 3: Beyond Gotham,Xbox 360,,,7.0,21,TT Games,E10+,Action Adventure
Bully,PlayStation 2,87,69,8.9,588,Rockstar Vancouver,T,Action Adventure
Bayonetta,Xbox 360,90,86,8.1,737,PlatinumGames,M,Action
Teenage Mutant Ninja Turtles,Game Boy Advance,71,16,8.1,13,Konami,E,Action
Monster Hunter: World,Xbox One,90,17,7.2,459,Capcom,T,Role-Playing
Teenage Mutant Ninja Turtles,PlayStation 2,59,29,7.5,43,KCE Studios,E,Action
Dante's Inferno,Xbox 360,73,71,7.6,279,Visceral Games,M,Action
SpongeBob Squarepants: The Yellow Avenger,PSP,48,9,5.1,23,Tantalus,E,Action
Dynasty Warriors 7,PlayStation 3,57,25,7.3,65,Omega Force,T,Action
LEGO Pirates of the Caribbean: The Video Game,DS,69,5,7.8,4,Traveller's Tales,E10+,Action Adventure
James Cameron's Avatar: The Game,PlayStation 3,60,44,6.8,62,"Ubisoft, Ubisoft Montreal",T,Action
God of War Saga,PlayStation 3,,,9.0,86,"Ready at Dawn, SCE Santa Monica",M,Miscellaneous
God of War III Remastered,PlayStation 4,81,67,8.2,1335,Wholesale Algorithms,M,Action Adventure
Finding Nemo,GameCube,62,11,5.4,9,Traveller's Tales,E,Action
Resident Evil: Revelations,3DS,82,78,8.5,516,Capcom,M,Action Adventure
The Tomb Raider Trilogy,PlayStation 3,78,37,8.3,79,Crystal Dynamics,T,Miscellaneous
Fortnite,PlayStation 4,78,16,3.8,1235,Epic Games,T,Action
Star Wars: The Force Unleashed,DS,61,8,5.5,26,n-Space,T,Action
NBA 2K6,PlayStation 2,84,23,8.3,13,Visual Concepts,E,Sports
LEGO Harry Potter Collection,PlayStation 4,73,17,7.6,66,Warner Bros. Interactive Entertainment,E10+,Miscellaneous
LEGO Dimensions,Xbox 360,,,6.2,20,,,
Grand Theft Auto IV,PC,90,40,7.0,3274,Rockstar Toronto,M,Action Adventure
Warriors Orochi,PlayStation 2,55,14,8.4,19,Omega Force,T,Action
Ghostbusters: The Video Game,Wii,76,29,8.3,35,Red Fly Studio,E10+,Action
For Honor,Xbox One,79,26,5.9,302,Ubisoft Montreal,M,Action Adventure
Dishonored 2,Xbox One,88,25,7.9,396,Arkane Studios,M,Action Adventure
Dynasty Warriors 4: Xtreme Legends,PlayStation 2,72,15,8.3,44,Omega Force,T,Action
Tomb Raider: Anniversary,Wii,73,22,7.4,29,Crystal Dynamics,T,Action Adventure
Thief,PlayStation 4,67,48,6.2,760,Eidos Montreal,M,Fantasy
Ninja Gaiden Sigma 2,PlayStation 3,83,52,7.8,158,Team Ninja,M,Action Adventure
LEGO Jurassic World,3DS,,,7.1,15,TT Games,E10+,Action Adventure
Ghostbusters: The Video Game,PlayStation 3,78,74,8.0,119,Terminal Reality,T,Action
Spider-Man 2,GameCube,80,41,8.4,39,Treyarch,T,Action Adventure
The Incredibles,GameCube,63,27,6.3,12,Heavy Iron Studios,T,Action Adventure
LEGO Batman 3: Beyond Gotham,PlayStation 3,,,7.1,15,TT Games,E10+,Action Adventure
ZombiU,Wii U,77,70,7.7,785,Ubisoft Montpellier,M,General
Ben 10: Protector of Earth,PlayStation 2,,,8.5,43,High Voltage Software,E10+,Action
Dynasty Warriors 2,PlayStation 2,75,17,8.4,38,Omega Force,T,Action
Metal Gear Solid V: The Phantom Pain,Xbox One,95,10,7.5,1256,"Kojima Productions, Moby Dick Studio",M,Modern
Lizzie McGuire 2: Lizzie Diaries,Game Boy Advance,57,6,5.0,5,Artificial Mind and Movement,E,Action Adventure
DmC: Devil May Cry,PlayStation 3,85,40,5.6,1633,Ninja Theory,M,Action
LEGO Dimensions,PlayStation 3,,,6.5,19,TT Games,E10+,Action Adventure
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,,,7.6,5,Gorilla Systems,E,Action
Ben 10: Alien Force,Wii,45,6,7.8,11,Monkey Bar Games,E10+,Action
Star Wars The Clone Wars: Republic Heroes,Wii,48,10,5.8,10,Krome Studios,T,Action Adventure
Assassin's Creed: The Ezio Collection,PlayStation 4,72,33,8.1,312,Ubisoft Montreal,M,Miscellaneous
Prototype 2,Xbox 360,74,69,7.0,197,Radical Entertainment,M,Action Adventure
MadWorld,Wii,81,74,8.6,205,PlatinumGames,M,Action
LEGO Jurassic World,Xbox One,70,17,6.8,56,TT Games,E10+,Action Adventure
Star Wars: The Force Unleashed II,Wii,71,10,7.8,35,"LucasArts, Red Fly Studio",T,Action
Tom Clancy's Splinter Cell Double Agent,Xbox 360,85,59,8.1,173,Ubisoft Shanghai,M,Action Adventure
Star Wars The Clone Wars: Jedi Alliance,DS,68,10,7.7,37,LucasArts,E10+,Action Adventure
Hitman,PlayStation 4,84,40,7.8,399,Io Interactive,M,Modern
Prototype 2,PlayStation 3,79,39,6.8,211,Radical Entertainment,M,Action Adventure
James Cameron's Avatar: The Game,Xbox 360,61,62,6.8,89,"Ubisoft, Ubisoft Montreal",T,Action
Fortnite,Xbox One,85,5,3.7,326,Epic Games,T,Action
Star Wars Episode II: Attack of the Clones,Game Boy Advance,38,14,3.4,10,David A. Palmer Productions,E,Action Adventure
