Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Far Cry 5,Xbox One,2018.0,Action,Ubisoft  ,1.14,0.47,0.0,0.17,1.78,82.0,32.0,6.9,495.0,Ubisoft Montreal,M
50 Cent: Bulletproof,PlayStation 2,2005.0,Action Adventure,Vivendi Games  ,0.85,0.76,0.0,0.16,1.77,47.0,21.0,6.6,140.0,Genuine Games,M
State of Emergency,PlayStation 2,2002.0,Action,Rockstar Games  ,0.86,0.67,0.0,0.22,1.76,71.0,34.0,6.3,34.0,VIS Entertainment,M
Kinect Star Wars,Xbox 360,2012.0,Action,Microsoft Studios  ,1.05,0.53,0.03,0.15,1.76,55.0,61.0,3.8,154.0,Terminal Reality,T
Just Cause 2,PlayStation 3,2010.0,Action Adventure,Square Enix  ,0.45,0.92,0.06,0.32,1.75,83.0,66.0,8.0,336.0,Avalanche Studios,M
For Honor,PlayStation 4,2017.0,Action Adventure,Ubisoft  ,0.73,0.66,0.07,0.28,1.75,78.0,59.0,6.1,1097.0,Ubisoft Montreal,M
Hitman: Absolution,Xbox 360,2012.0,Action Adventure,Square Enix  ,0.68,0.88,0.01,0.13,1.7,79.0,51.0,7.2,514.0,Io Interactive,M
Ben 10: Protector of Earth,DS,2007.0,Action,D3 Publisher  ,0.68,0.82,0.0,0.19,1.7,,,6.8,10.0,1st Playable Productions,E
Saints Row IV,Xbox 360,2013.0,Action Adventure,Deep Silver  ,1.01,0.51,0.01,0.15,1.69,81.0,42.0,6.6,355.0,Volition Inc.,M
Harry Potter and the Sorcerer's Stone,Game Boy Advance,2001.0,Action Adventure,Electronic Arts  ,0.87,0.66,0.08,0.08,1.69,64.0,8.0,7.4,13.0,Griptonite Games,E
Saints Row 2,PlayStation 3,2008.0,Action Adventure,THQ  ,0.88,0.54,0.02,0.24,1.68,82.0,50.0,8.0,176.0,Volition Inc.,M
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008.0,Action Adventure,LucasArts  ,1.21,0.3,0.0,0.14,1.65,56.0,24.0,6.6,32.0,Krome Studios,T
Uncharted: Golden Abyss,PlayStation Vita,2012.0,Action Adventure,Sony Computer Entertainment  ,0.53,0.71,0.13,0.25,1.62,80.0,80.0,7.5,897.0,"Naughty Dog, Sony Bend",T
Just Cause 2,Xbox 360,2010.0,Action Adventure,Square Enix  ,0.59,0.83,0.02,0.17,1.6,81.0,74.0,8.0,302.0,Avalanche Studios,M
Devil May Cry 4,PlayStation 3,2008.0,Action,Capcom  ,0.58,0.45,0.34,0.2,1.58,84.0,63.0,8.5,515.0,Capcom,M
Batman: Arkham Knight,Xbox One,2015.0,General,Warner Bros. Interactive Entertainment  ,0.97,0.46,0.0,0.14,1.58,85.0,16.0,7.2,946.0,Rocksteady Studios,M
LEGO Pirates of the Caribbean: The Video Game,Wii,2011.0,Action Adventure,Disney Interactive Studios  ,0.73,0.69,0.0,0.15,1.57,73.0,14.0,7.3,21.0,Traveller's Tales,E10+
Mafia II,Xbox 360,2010.0,Action Adventure,2K Games  ,0.85,0.55,0.0,0.15,1.56,74.0,79.0,8.0,671.0,2K Czech,M
Spider-Man 2: Enter: Electro,PlayStation,2001.0,Action Adventure,Activision  ,0.57,0.87,0.02,0.09,1.55,74.0,15.0,8.4,88.0,Vicarious Visions,E
Pac-Man World 2,PlayStation 2,2002.0,Action,Namco  ,1.26,0.05,0.0,0.21,1.51,73.0,19.0,7.7,37.0,Namco,E
Star Wars: The Force Unleashed II,PlayStation 3,2010.0,Action,LucasArts  ,0.8,0.5,0.0,0.21,1.51,63.0,41.0,6.7,152.0,LucasArts,T
Metal Gear Rising: Revengeance,PlayStation 3,2013.0,Action Adventure,Konami Digital Entertainment  ,0.47,0.41,0.44,0.18,1.5,80.0,61.0,8.0,901.0,PlatinumGames,M
Mafia II,PlayStation 3,2010.0,Action Adventure,2K Games  ,0.5,0.7,0.04,0.25,1.49,75.0,61.0,7.9,435.0,2K Czech,M
Dead Rising 2,Xbox 360,2010.0,Action Adventure,Capcom  ,0.75,0.53,0.09,0.13,1.49,79.0,76.0,7.1,247.0,Blue Castle Games,M
LEGO Star Wars III: The Clone Wars,Xbox 360,2011.0,Action Adventure,LucasArts  ,0.84,0.51,0.0,0.13,1.48,75.0,43.0,7.7,62.0,Traveller's Tales,E10+
Dying Light,Xbox One,2016.0,Horror,Warner Bros. Interactive Entertainment  ,1.01,0.31,0.01,0.14,1.47,74.0,26.0,7.9,504.0,Techland,M
Ryse: Son of Rome,Xbox One,2013.0,Action Adventure,Microsoft Studios  ,0.84,0.49,0.0,0.13,1.47,60.0,77.0,6.4,1698.0,Crytek,M
The SpongeBob SquarePants Movie,Game Boy Advance,2004.0,Action,THQ  ,1.02,0.38,0.0,0.06,1.46,,,7.4,5.0,WayForward,E
Assassin's Creed Syndicate,Xbox One,2015.0,Historic,Ubisoft  ,0.71,0.61,0.0,0.12,1.44,78.0,22.0,6.5,590.0,Ubisoft Quebec,M
Star Wars: The Force Unleashed II,Xbox 360,2010.0,Action,LucasArts  ,0.95,0.37,0.0,0.12,1.44,61.0,59.0,5.9,248.0,LucasArts,T
Frogger 2: Swampy's Revenge,PlayStation,2000.0,Action,Hasbro Interactive  ,0.8,0.54,0.0,0.09,1.43,77.0,4.0,8.2,12.0,Blitz Games,E
Yu-Gi-Oh! The Duelists of the Roses,PlayStation 2,2003.0,Miscellaneous,Konami  ,1.07,0.35,0.0,0.0,1.41,59.0,14.0,8.0,96.0,Konami,E
Yu-Gi-Oh! The Duelists of the Roses,PlayStation 2,2003.0,Miscellaneous,Konami  ,1.16,0.91,0.0,0.3,2.38,59.0,14.0,8.0,96.0,Konami,E
LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action Adventure,LucasArts  ,0.58,0.51,0.0,0.32,1.41,83.0,11.0,8.1,49.0,Traveller's Tales,E10+
Spider-Man: The Movie,Xbox,2002.0,Action,Activision  ,1.07,0.28,0.0,0.05,1.4,79.0,29.0,7.5,14.0,Treyarch,E
True Crime: Streets of LA,Xbox,2003.0,Action Adventure,Activision  ,0.96,0.37,0.0,0.05,1.38,77.0,39.0,8.0,31.0,"Luxoflux, Inc.",M
Dead Rising 2,PlayStation 3,2010.0,Action Adventure,Capcom  ,0.43,0.57,0.15,0.22,1.37,80.0,54.0,6.8,195.0,Blue Castle Games,M
Metroid: Other M,Wii,2010.0,Action,Nintendo  ,0.85,0.28,0.13,0.1,1.36,79.0,71.0,6.7,618.0,Team Ninja,T
Watch Dogs 2,Xbox One,2016.0,Action Adventure,Ubisoft  ,0.71,0.53,0.0,0.12,1.35,81.0,11.0,7.4,339.0,Ubisoft Montreal,M
Devil May Cry 4,Xbox 360,2008.0,Action,Capcom  ,0.79,0.34,0.08,0.13,1.34,84.0,61.0,8.4,350.0,Capcom,M
Saints Row IV,PlayStation 3,2013.0,Action Adventure,Deep Silver  ,0.58,0.45,0.09,0.21,1.33,76.0,26.0,6.4,303.0,Volition Inc.,M
Alan Wake,Xbox 360,2010.0,Action Adventure,Microsoft Game Studios  ,0.66,0.5,0.05,0.12,1.33,83.0,100.0,8.2,1401.0,Remedy Entertainment,T
Manhunt,PlayStation 2,2003.0,Action Adventure,Rockstar Games  ,0.63,0.49,0.0,0.16,1.28,76.0,47.0,8.4,193.0,Rockstar North,M
LEGO Harry Potter: Years 5-7,Wii,2011.0,Action Adventure,Warner Bros. Interactive  ,0.7,0.44,0.0,0.12,1.26,76.0,8.0,7.5,20.0,Traveller's Tales,E10+
Assassin's Creed: Bloodlines,PSP,2009.0,Action Adventure,Ubisoft  ,0.43,0.5,0.05,0.28,1.26,63.0,38.0,7.0,123.0,Griptonite Games,M
Star Wars: The Force Unleashed,PlayStation 2,2008.0,Action,LucasArts  ,0.49,0.0,0.01,0.75,1.25,68.0,7.0,7.5,53.0,Krome Studios,T
Lara Croft Tomb Raider: The Angel of Darkness,PlayStation 2,2003.0,Action Adventure,Eidos Interactive  ,0.61,0.48,0.0,0.16,1.25,52.0,37.0,6.4,141.0,Core Design Ltd.,T
Star Wars Episode III: Revenge of the Sith,Xbox,2005.0,Action Adventure,LucasArts  ,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.0,63.0,Double Helix Games,T
Ben 10: Protector of Earth,Wii,2007.0,Action,D3 Publisher  ,0.54,0.55,0.0,0.13,1.23,63.0,6.0,7.5,12.0,High Voltage Software,E10+
Bayonetta,PlayStation 3,2010.0,Action,Sega  ,0.44,0.4,0.21,0.16,1.21,87.0,54.0,7.7,449.0,"PlatinumGames, Nex Entertainment",M
